["Country",Import],
["Afghanistan",473],
["Albania",30],
["Algeria",973],
["Andorra",0],
["Angola",2197],
["Anguilla",0],
["Antarctica",1],
["Antigua and Barb.",0],
["Argentina",4025],
["Armenia",121],
["Aruba",2],
["Australia",15175],
["Austria",746],
["Azerbaijan",105],
["Bahamas",3],
["Bahrain",662],
["Bangladesh",1801],
["Barbados",1],
["Belarus",380],
["Belgium",9020],
["Belize",0],
["Benin",371],
["Bermuda",0],
["Bhutan",510],
["Bolivia",1976],
["Bosnia and Herz.",3],
["Botswana",483],
["Brazil",5233],
["British Virgin Is.",15],
["Brunei",379],
["Bulgaria",145],
["Burkina Faso",412],
["Burundi",0],
["Cabo Verde",4],
["Cambodia",82],
["Cameroon",543],
["Canada",2858],
["Cayman Is.",0],
["Central African Rep.",0],
["Chad",3],
["Chile",1282],
["China",85144],
["Colombia",2867],
["Comoros",14],
["Congo",911],
["Cook Is.",0],
["Costa Rica",59],
["Croatia",57],
["Cuba",1],
["Cyprus",70],
["Czechia",543],
["Dem. Rep. Congo",22],
["Denmark",696],
["Djibouti",39],
["Dominica",0],
["Dominican Rep.",610],
["Ecuador",898],
["Egypt",3224],
["El Salvador",4],
["Eq. Guinea",904],
["Eritrea",0],
["Estonia",67],
["eSwatini",235],
["Ethiopia",58],
["Falkland Is.",],
["Faroe Islands",],
["Fiji",0],
["Finland",801],
["Fr. Polynesia",1],
["France",5255],
["Gabon",1024],
["Gambia",42],
["Georgia",170],
["Germany",13537],
["Ghana",1423],
["Greece",283],
["Greenland",0],
["Grenada",1],
["Guam",0],
["Guatemala",20],
["Guernsey",],
["Guinea",3538],
["Guinea-Bissau",163],
["Guyana",157],
["Haiti",21],
["Honduras",19],
["Hong Kong",17246],
["Hungary",264],
["Iceland",6],
["Indian Ocean Ter.",0],
["Indonesia",15529],
["Iran",366],
["Iraq",27745],
["Ireland",1052],
["Israel",2591],
["Italy",4536],
["Ivory Coast",325],
["Jamaica",2],
["Japan",13102],
["Jordan",1674],
["Kazakhstan",320],
["Kenya",136],
["Kiribati",0],
["Kuwait",9764],
["Kyrgyzstan",2],
["Laos",1],
["Latvia",101],
["Lebanon",29],
["Lesotho",0],
["Liberia",20],
["Libya",354],
["Liechtenstein",1],
["Lithuania",195],
["Luxembourg",60],
["Macao",20],
["Macedonia",1],
["Madagascar",128],
["Malawi",104],
["Malaysia",11196],
["Maldives",45],
["Mali",17],
["Malta",21],
["Marshall Is.",1],
["Mauritania",10],
["Mauritius",65],
["Mayotte",1],
["Mexico",3894],
["Micronesia",],
["Moldova",0],
["Monaco",0],
["Mongolia",1],
["Montenegro",0],
["Montserrat",],
["Morocco",2038],
["Mozambique",1700],
["Myanmar",866],
["N. Mariana Is.",0],
["Namibia",45],
["Nauru",23],
["Nepal",1288],
["Netherlands",4029],
["New Caledonia",8],
["New Zealand",343],
["Nicaragua",9],
["Niger",8],
["Nigeria",8875],
["Niue",],
["Norfolk Island",0],
["North Korea",6],
["Norway",1963],
["Oman",5891],
["Pakistan",2],
["Palau",0],
["Palestine",0],
["Panama",291],
["Papua New Guinea",311],
["Paraguay",15],
["Peru",2593],
["Philippines",666],
["Pitcairn Is.",0],
["Poland",981],
["Portugal",152],
["Puerto Rico",45],
["Qatar",11823],
["Romania",244],
["Russia",8689],
["Rwanda",7],
["S. Sudan",1],
["Saint Helena",0],
["Saint Lucia",0],
["Samoa",0],
["San Marino",0],
["São Tomé and Principe",0],
["Saudi Arabia",29809],
["Senegal",650],
["Serbia",10],
["Seychelles",3],
["Sierra Leone",15],
["Singapore",16594],
["Sint Maarten",],
["Slovakia",92],
["Slovenia",276],
["Solomon Is.",23],
["Somalia",17],
["South Africa",9858],
["South Korea",15854],
["Spain",1875],
["Sri Lanka",927],
["St. Kitts and Nevis",1],
["St. Vin. and Gren.",0],
["Sudan",118],
["Suriname",29],
["Sweden",1316],
["Switzerland",22799],
["Syria",14],
["Taiwan",5570],
["Tajikistan",11],
["Tanzania",2088],
["Thailand",8296],
["Timor-Leste",0],
["Togo",298],
["Tonga",0],
["Trinidad and Tobago",112],
["Tunisia",295],
["Turkey",1863],
["Turkmenistan",7],
["Turks and Caicos Is.",0],
["U.S. Virgin Is.",0],
["Uganda",128],
["Ukraine",2624],
["United Arab Emirates",40356],
["United Kingdom",6588],
["United States of America",38800],
["UNSPECIFIED",32],
["Uruguay",152],
["Uzbekistan",67],
["Vanuatu",0],
["Vatican",0],
["Venezuela",69],
["Vietnam",6507],
["W. Sahara",],
["Wallis and Futuna Is.",0],
["Yemen",160],
["Zambia",115],
["Zimbabwe",6],
